유형,대회명,웹페이지,시작일,종료일
공모전,2023 AI HACKATHON,https://udemy.wjtb.co.kr/event/id/179?utm_medium=udemyads&utm_source=wj-facebook&utm_campaign=bat_traffic_individual_jocoding-hackathon-slide&utm_content=all_interest&utm_term=da_slide_all_1080x1080_230626,2023-06-26,2023-07-21
공모전,부동산 소비자 보호와 지속가능한 부동산산업 발전을 위한 우수논문 공모전,https://www.reb.or.kr/research/na/ntt/selectNttInfo.do?mi=9424&nttSn=87473,2023-06-19,2023-07-21
공모전,2023년 국민안전 발명챌린지 대국민 공고,https://www.ipmarket.or.kr/idearo/service/itr/evt/eventMngtDetail.do?eventMngtId=EVENT_00000000000581,2023-05-22,2023-07-21
공모전,[통계청] 2023년 통계데이터 활용대회,https://data.kostat.go.kr/sbchome/bbs/boardDetail.do?boardId=SBCSBBS_000000001000&postId=BI_00000000000097363&curMenuNo=OPT_03_03_00_0,2023-05-11,2023-07-21
공모전,2023년 충청북도 공공데이터 활용 창업경진대회,http://www.cbist.or.kr/home/sub.do?mncd=1131&mode=view&no=42733189,2023-05-08,2023-07-21
공모전,제2회 고용노동 공공데이터 활용 공모전,https://www.2023datacontest.co.kr/,2023-03-20,2023-07-21
공모전,2023년 대전자치경찰 ‘참․신․한’ 시민 아이디어 공모,https://www.daejeon.go.kr/seesaw/policyProposeList.do?menuSeq=5879,2023-06-22,2023-07-22
공모전,2023 공군 창의혁신 아이디어 공모 해커톤,https://rokaf.airforce.mil.kr/sites/hackathon/index.do,2023-06-01,2023-07-22
공모전,AI Agents Hackathon 2.0,https://lablab.ai/event/ai-agents-hackathon-2,2023-07-21,2023-07-23
공모전,2023년도 세종특별자치시 공공데이터 활용 창업경진대회,https://www.sejong.go.kr/shrUrl/SoI528KKnLs7QLzr2lP6.do,2023-06-08,2023-07-24
경진대회,HuBMAP - Hacking the Human Vasculature,https://www.kaggle.com/competitions/hubmap-hacking-the-human-vasculature,2023-05-22,2023-07-24
공모전,해커톤 JUNCTION ASIA 정션 아시아 2023,https://asia.hackjunction.com/home/,2023-07-03,2023-07-26
경진대회,제2회 데이터기반 리스크관리 경진대회,http://www.riskds.com/mobile/,2023-07-03,2023-07-26
경진대회,2023 ETRI 자율성장 인공지능 경진대회,https://fashion-how.org/ETRI23/,2023-06-28,2023-07-28
공모전,공공조달 빅데이터 활용 아이디어 공모전,https://www.pps.go.kr/kor/bbs/view.do;jsessionid=GjP_ij8aaLD6dl69Y6t5hBuQI2Z2IyijNiLOe1GoMK-COJ-2rRUC!-1981820111?key=00641&bbsSn=2306280008,2023-06-28,2023-07-28
경진대회,제2회 KRX 주식 투자 알고리즘 경진대회,https://dacon.io/competitions/official/236117/overview/description,2023-07-03,2023-07-28
공모전,ElevenLabs AI Hackathon,https://lablab.ai/event/eleven-labs-ai-hackathon,2023-07-28,2023-07-29
공모전,제 4회 스토리네이션 공모전 <AI 소설 창작 대작전> Part2.,https://docs.google.com/forms/d/e/1FAIpQLSfkkHQuCDTf79W5A0WHjPaqz-RjqYr7QK5z7jdo0X-Abw4q0A/viewform,2023-07-01,2023-07-30
경진대회,데이콘 Basic 풍속 예측 AI 경진대회,https://dacon.io/competitions/official/236126/overview/description,2023-07-17,2023-07-31
경진대회,Forecasting Mini-Course Sales,https://www.kaggle.com/competitions/playground-series-s3e19,2023-07-11,2023-07-31
공모전,제7회 KIPA-KAPA 데이터 활용 논문 공모전,https://www.kapa21.or.kr/bbs/notice/9064,2023-05-25,2023-07-31
공모전,2023 마이데이터 아이디어 공모전,https://kdata.or.kr/kr/board/notice_01/boardView.do?bbsIdx=33786,2023-06-28,2023-07-31
공모전,제14회 LH국토개발기술대전,https://lh.or.kr/land/intro.do,2023-07-01,2023-07-31
